Alabama,AL,30.4,-88.3,35.0,-85.0,01
Alaska,AK,55.9,-164.9,71.5,-142.1,02
Arizona,AZ,31.4,-114.7,36.9,-109.1,04
Arkansas,AR,33.1,-94.4,36.5,-90.2,05
California,CA,32.32,-124.25,42.00,-114.07,06
Colorado,CO,37.0,-109.0,41.0,-102.1,08
Connecticut,CT,41.2,-73.5,42.0,-71.8,09
Delaware,DE,38.27,-75.48,39.51,-75.0,10
DistrictOfColumbia,DC,38.52,-77.07,39.0,-76.52,11
Florida,FL,25.2,-87.2,30.5,-79.8,12
Georgia,GA,30.8,-85.0,35.0,-83.2,13
Hawaii,HI,18.7,-160.6,22.4,-154.8,15
Idaho,ID,42,-117,44.5,-111.1,16
Illinois,IL,39.2,-90.1,42.5,-87.4,17
Indiana,IN,38.6,-87.5,41.74,-84.8,18
Iowa,IA,40.6,-95.7,43.5,-91.3,19
Kansas,KS,37.0,-102,39.9,-95.0,20
Kentucky,KY,36.5,-89.4,38.7,-82.6,21
Louisiana,LA,28.55,-94.03,33.01,-88.49,22
Maine,ME,43.2,-71.0,47.1,-67.9,23
Maryland,MD,39.1,-77.5,39.7,-75.8,24
Massachusetts,MA,41.13,-73.31,42.52,-69.55,25
Michigan,MI,41.8,-86.7,45.3,-82.4,26
Minnesota,MN,43.5,-96.4,48.2,-92.1,27
Mississippi,MS,31.0,-91.2,34.9,-88.2,28
Missouri,MO,36.5,-94.6,40.5,-90.1,29
Montana,MT,44.9,-114.4,49.0,-104.1,30
Nebraska,NE,40.1,-104.0,42.9,-96.1,31
Nevada,NV,36.0,-116.3,42.0,-114.1,32
NewHampshire,NH,42.7,-72.5,45.3,-71.0,33
NewJersey,NJ,38.55,-75.33,41.22,-73.52,34
NewMexico,NM,31.3,-109.0,37.0,-103.0,35
NewYork,NY,40.30,-79.46,45.01,-71.52,36
NorthCarolina,NC,35.2,-81.7,36.5,-75.2,37
NorthDakota,ND,45.9,-104.0,49.0,-97.2,38
Ohio,OH,39.0,-84.8,41.8,-80.6,39
Oklahoma,OK,35.3,-97.8,35.6,-97.15,40
Oregon,OR,42.0,-124.6,46.16,-116.7,41
Pennsylvania,PA,39.43,-80.31,42.16,-74.41,42
RhodeIsland,RI,41.08,-71.55,42.01,-71.07,44
SouthCarolina,SC,32.00,-83.22,35.13,-78.31,45
SouthDakota,SD,42.29,-104.03,45.56,-96.26,46
Tennessee,TN,34.58,-90.19,36.41,-81.38,47
Texas,TX,25.50,-105.39,36.30,-93.30,48
Utah,UT,37.00,-114.03,42.00,-109.00,49
Vermont,VT,42.43,-73.36,45.00,-71.28,50
Virginia,VA,36.32,-83.41,39.28,-75.15,51
Washington,WA,45.32,-124.46,49.00,-116.55,53
WestVirginia,WV,37.12,-82.39,40.38,-77.44,54
Wisconsin,WI,42.30,-92.54,47.07,-86.45,55
Wyoming,WY,41.00,-111.06,45.00,-104.00,56
PuertoRico,PR,17.55,-67.57,18.32,-64.13,72
